time="2020-11-20 13:23:04" level=info msg="日志系统加载成功"
time="2020-11-20 13:26:52" level=info msg="日志系统加载成功"
time="2020-11-20 13:27:07" level=info msg="日志系统加载成功"
time="2020-11-20 13:30:06" level=info msg="*****  日志系统加载成功  *****"
time="2020-11-20 13:30:06" level=debug msg="系统启动成功"
time="2020-11-20 13:31:16" level=info msg="+----- 日志系统加载成功 -----+"
time="2020-11-20 13:31:16" level=debug msg="+----- 系统启动成功 -----+"
time="2020-11-20 13:42:33" level=info msg="+----- 日志系统加载成功 -----+"
time="2020-11-20 13:42:33" level=debug msg="+----- 系统启动成功 -----+"
time="2020-11-20 13:43:23" level=info msg="+----- 日志系统加载成功 -----+"
time="2020-11-20 13:43:23" level=debug msg="+----- 系统启动成功 -----+"
time="2020-11-20 13:46:02" level=info msg="+----- 日志系统加载成功 -----+"
time="2020-11-20 13:46:02" level=debug msg="+----- 系统启动成功 -----+"
time="2020-11-20 13:47:23" level=info msg="+----- 日志系统加载成功 -----+"
time="2020-11-20 13:47:23" level=debug msg="+----- 系统启动成功 -----+"
time="2020-11-20 14:06:23" level=info msg="+----- 日志系统加载成功 -----+"
time="2020-11-20 14:06:23" level=debug msg="+----- 系统启动成功 -----+"
